,"-, clemscore","all, Average % Played","all, Average Quality Score","imagegame, % Played","imagegame, Quality Score","imagegame, Quality Score (std)","matchit_ascii, % Played","matchit_ascii, Quality Score","matchit_ascii, Quality Score (std)","privateshared, % Played","privateshared, Quality Score","privateshared, Quality Score (std)","referencegame, % Played","referencegame, Quality Score","referencegame, Quality Score (std)","taboo, % Played","taboo, Quality Score","taboo, Quality Score (std)","wordle, % Played","wordle, Quality Score","wordle, Quality Score (std)","wordle_withclue, % Played","wordle_withclue, Quality Score","wordle_withclue, Quality Score (std)","wordle_withcritic, % Played","wordle_withcritic, Quality Score","wordle_withcritic, Quality Score (std)"
llama3.1-sft-e1-_E1_DM000-t0.0--llama3.1-sft-e1-_E1_DM000-t0.0,12.59,54.41,23.14,12.5,8.8,19.68,100.0,95.0,22.07,0.0,,,54.44,43.88,49.88,95.0,7.6,25.99,96.67,0.0,0.0,26.67,0.0,0.0,50.0,6.67,25.82
llama3.1-sft-e1-_E1_DM001-t0.0--llama3.1-sft-e1-_E1_DM001-t0.0,19.02,73.99,25.7,97.5,19.31,21.51,100.0,87.5,33.49,0.0,,,63.33,30.7,46.33,100.0,27.22,42.52,96.67,0.0,0.0,73.33,6.06,22.15,61.11,9.09,30.15
llama3.1-sft-e1-_E1_DM002-t0.0--llama3.1-sft-e1-_E1_DM002-t0.0,19.22,68.44,28.09,27.5,21.09,28.87,100.0,92.5,26.67,0.0,,,85.0,40.52,49.25,98.33,25.99,42.8,100.0,0.0,0.0,83.33,4.0,20.0,53.33,12.5,34.16
