,"-, clemscore","all, Average % Played","all, Average Quality Score","imagegame, % Played","imagegame, Quality Score","imagegame, Quality Score (std)","privateshared, % Played","privateshared, Quality Score","privateshared, Quality Score (std)","referencegame, % Played","referencegame, Quality Score","referencegame, Quality Score (std)","taboo, % Played","taboo, Quality Score","taboo, Quality Score (std)","wordle, % Played","wordle, Quality Score","wordle, Quality Score (std)","wordle_withclue, % Played","wordle_withclue, Quality Score","wordle_withclue, Quality Score (std)","wordle_withcritic, % Played","wordle_withcritic, Quality Score","wordle_withcritic, Quality Score (std)"
CapybaraHermes-2.5-Mistral-7B-GGUF-q4-t0.0--CapybaraHermes-2.5-Mistral-7B-GGUF-q4-t0.0,6.61,39.0,16.95,5.0,0.0,0.0,18.0,1.06,3.17,100.0,33.33,47.27,60.0,46.76,49.25,63.33,0.0,0.0,13.33,12.5,25.0,13.33,25.0,50.0
CapybaraHermes-2.5-Mistral-7B-GGUF-q5-k-s-t0.0--CapybaraHermes-2.5-Mistral-7B-GGUF-q5-k-s-t0.0,6.72,39.67,16.93,5.0,0.0,0.0,16.0,2.38,4.48,100.0,34.44,47.65,73.33,41.67,46.93,33.33,0.0,0.0,33.33,30.0,48.3,16.67,10.0,22.36
CapybaraHermes-2.5-Mistral-7B-GGUF-q5-t0.0--CapybaraHermes-2.5-Mistral-7B-GGUF-q5-t0.0,9.11,49.05,18.58,0.0,,,20.0,14.74,17.12,100.0,35.0,47.83,76.67,40.94,47.49,73.33,0.0,0.0,53.33,12.5,34.16,20.0,8.33,20.41
EstopianMaid-13B-GGUF-q2-k-t0.0--EstopianMaid-13B-GGUF-q2-k-t0.0,0.0,10.95,0.0,0.0,,,0.0,,,0.0,,,76.67,0.0,0.0,0.0,,,0.0,,,0.0,,
EstopianMaid-13B-GGUF-q3-k-s-t0.0--EstopianMaid-13B-GGUF-q3-k-s-t0.0,7.88,17.83,44.19,0.0,,,0.0,,,49.44,32.58,47.13,71.67,0.0,0.0,0.0,,,0.0,,,3.7,100.0,
Meta-Llama-3-70B-Instruct-GGUF-q4-t0.0--Meta-Llama-3-70B-Instruct-GGUF-q4-t0.0,33.57,78.33,42.86,0.0,,,100.0,81.08,14.89,100.0,66.67,47.27,85.0,78.43,36.41,83.33,0.0,0.0,96.67,16.67,35.63,83.33,14.33,30.0
Qwen1.5-0.5B-Chat-GGUF-q8-t0.0--Qwen1.5-0.5B-Chat-GGUF-q8-t0.0,0.0,29.29,0.0,0.0,,,0.0,,,0.0,,,88.33,0.0,0.0,100.0,0.0,0.0,16.67,0.0,0.0,0.0,,
openchat_3.5-GGUF-q5-t0.0--openchat_3.5-GGUF-q5-t0.0,17.19,60.24,28.54,15.0,11.67,14.73,70.0,60.54,31.13,100.0,36.67,48.32,86.67,44.23,46.78,83.33,0.0,0.0,50.0,6.67,25.82,16.67,40.0,54.77
