,"-, clemscore","all, Average % Played","all, Average Quality Score","imagegame, % Played","imagegame, Quality Score","imagegame, Quality Score (std)","privateshared, % Played","privateshared, Quality Score","privateshared, Quality Score (std)","referencegame, % Played","referencegame, Quality Score","referencegame, Quality Score (std)","taboo, % Played","taboo, Quality Score","taboo, Quality Score (std)","wordle, % Played","wordle, Quality Score","wordle, Quality Score (std)","wordle_withclue, % Played","wordle_withclue, Quality Score","wordle_withclue, Quality Score (std)","wordle_withcritic, % Played","wordle_withcritic, Quality Score","wordle_withcritic, Quality Score (std)"
Meta-Llama-3-70B-Instruct-GGUF-q4-t0.0--Meta-Llama-3-70B-Instruct-GGUF-q4-t0.0,33.57,78.33,42.86,0.0,,,100.0,81.08,14.89,100.0,66.67,47.27,85.0,78.43,36.41,83.33,0.0,0.0,96.67,16.67,35.63,83.33,14.33,30.0
Meta-Llama-3-70B-Instruct-GGUF-q8-t0.0--Meta-Llama-3-70B-Instruct-GGUF-q8-t0.0,38.88,74.4,52.26,2.5,100.0,,100.0,85.83,11.6,100.0,65.56,47.65,78.33,73.05,40.46,70.0,2.38,7.68,90.0,12.96,28.99,80.0,26.04,40.77
Meta-Llama-3-8B-Instruct-GGUF-q4-t0.0--Meta-Llama-3-8B-Instruct-GGUF-q4-t0.0,11.75,54.84,21.43,0.0,,,100.0,53.05,33.24,0.56,0.0,,46.67,51.79,48.08,93.33,0.71,3.78,83.33,19.33,37.79,60.0,3.7,12.2
Meta-Llama-3-8B-Instruct-GGUF-q8-t0.0--Meta-Llama-3-8B-Instruct-GGUF-q8-t0.0,20.54,69.05,29.74,0.0,,,100.0,56.46,31.8,100.0,43.89,49.76,70.0,42.06,43.59,93.33,0.0,0.0,63.33,22.81,41.65,56.67,13.24,33.21
c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,19.48,66.43,29.33,0.0,,,70.0,28.67,25.48,100.0,45.56,49.94,35.0,85.71,35.86,83.33,0.0,0.0,93.33,12.02,23.87,83.33,4.0,20.0
c4ai-command-r-plus-GGUF-q8-t0.0--c4ai-command-r-plus-GGUF-q8-t0.0,25.53,74.24,34.39,0.0,,,88.0,26.47,25.93,100.0,45.0,49.89,41.67,92.0,27.69,100.0,0.0,0.0,96.67,17.18,28.57,93.33,25.71,41.11
