,"-, clemscore","all, Average % Played","all, Average Quality Score","imagegame, % Played","imagegame, Quality Score","imagegame, Quality Score (std)","privateshared, % Played","privateshared, Quality Score","privateshared, Quality Score (std)","referencegame, % Played","referencegame, Quality Score","referencegame, Quality Score (std)","taboo, % Played","taboo, Quality Score","taboo, Quality Score (std)","wordle, % Played","wordle, Quality Score","wordle, Quality Score (std)","wordle_withclue, % Played","wordle_withclue, Quality Score","wordle_withclue, Quality Score (std)","wordle_withcritic, % Played","wordle_withcritic, Quality Score","wordle_withcritic, Quality Score (std)"
llama3.1-sft-e1-_E1_D50001_REV-t0.0--llama3.1-sft-e1-_E1_D50001_REV-t0.0,24.4,90.12,27.08,97.5,41.95,25.28,100.0,40.93,34.24,100.0,44.44,49.83,100.0,36.94,43.41,90.0,0.0,0.0,86.67,10.58,28.44,56.67,14.71,34.3
llama3.1-sft-e1-_E1_D50002_REV-t0.0--llama3.1-sft-e1-_E1_D50002_REV-t0.0,20.7,77.31,26.77,72.5,40.14,30.09,42.0,42.74,38.97,100.0,43.33,49.69,100.0,35.56,43.88,96.67,0.0,0.0,73.33,21.21,35.24,56.67,4.41,13.21
llama3.1-sft-e1-_E1_D50003_REV-t0.0--llama3.1-sft-e1-_E1_D50003_REV-t0.0,14.96,72.26,20.7,2.5,33.0,,40.0,16.76,27.36,100.0,37.78,48.62,100.0,24.17,41.67,96.67,0.0,0.0,93.33,17.26,36.14,73.33,15.91,35.81
llama3.1-sft-e1-_E1_D50004_REV-t0.0--llama3.1-sft-e1-_E1_D50004_REV-t0.0,24.15,77.19,31.29,85.0,47.21,25.35,32.0,33.29,22.77,100.0,43.33,49.69,100.0,48.61,45.65,100.0,0.0,0.0,73.33,31.06,44.93,50.0,15.56,35.34
llama3.1-sft-e1-_E1_D50005_REV-t0.0--llama3.1-sft-e1-_E1_D50005_REV-t0.0,23.38,80.0,29.23,100.0,84.58,21.56,40.0,22.65,15.64,100.0,42.78,49.61,100.0,33.61,44.2,83.33,0.0,0.0,80.0,10.21,28.38,56.67,10.78,26.97
llama3.1-sft-e1-_E1_D50006_REV-t0.0--llama3.1-sft-e1-_E1_D50006_REV-t0.0,12.7,71.77,17.69,17.5,36.71,14.12,66.0,10.66,16.81,98.89,33.15,47.21,100.0,29.72,44.27,90.0,0.74,3.85,73.33,7.95,23.64,56.67,4.9,14.15
llama3.1-sft-e1-_E1_D50007_REV-t0.0--llama3.1-sft-e1-_E1_D50007_REV-t0.0,16.74,81.9,20.44,70.0,28.61,18.53,100.0,36.22,30.97,61.67,30.63,46.3,98.33,35.03,42.51,93.33,0.0,0.0,83.33,11.33,29.15,66.67,1.25,5.59
