,"-, clemscore","all, Average % Played","all, Average Quality Score","imagegame, % Played","imagegame, Quality Score","imagegame, Quality Score (std)","privateshared, % Played","privateshared, Quality Score","privateshared, Quality Score (std)","referencegame, % Played","referencegame, Quality Score","referencegame, Quality Score (std)","taboo, % Played","taboo, Quality Score","taboo, Quality Score (std)","wordle, % Played","wordle, Quality Score","wordle, Quality Score (std)","wordle_withclue, % Played","wordle_withclue, Quality Score","wordle_withclue, Quality Score (std)","wordle_withcritic, % Played","wordle_withcritic, Quality Score","wordle_withcritic, Quality Score (std)"
llama3.1-sft-e1-_E1_D60001-t0.0--llama3.1-sft-e1-_E1_D60001-t0.0,26.52,89.76,29.54,95.0,89.55,21.25,100.0,10.88,21.29,100.0,42.78,49.61,100.0,35.0,42.15,93.33,0.0,0.0,70.0,9.52,30.08,70.0,19.05,40.24
llama3.1-sft-e1-_E1_D60002-t0.0--llama3.1-sft-e1-_E1_D60002-t0.0,28.41,80.86,35.13,100.0,90.12,10.93,16.0,38.85,22.41,100.0,40.0,49.13,100.0,31.94,42.88,93.33,1.07,5.67,76.67,21.74,42.17,80.0,22.22,41.31
llama3.1-sft-e1-_E1_D60003-t0.0--llama3.1-sft-e1-_E1_D60003-t0.0,26.68,85.9,31.06,100.0,88.72,19.23,98.0,25.13,31.06,100.0,35.56,48.0,100.0,36.94,44.37,93.33,0.0,0.0,66.67,11.83,25.47,43.33,19.23,38.4
llama3.1-sft-e1-_E1_D60004-t0.0--llama3.1-sft-e1-_E1_D60004-t0.0,28.03,91.83,30.52,97.5,89.79,20.33,82.0,17.13,27.89,100.0,33.33,47.27,100.0,25.83,40.29,93.33,2.5,10.05,86.67,23.08,42.97,83.33,22.0,41.03
llama3.1-sft-e1-_E1_D60005-t0.0--llama3.1-sft-e1-_E1_D60005-t0.0,17.03,67.14,25.36,0.0,,,70.0,43.63,21.49,56.67,37.25,48.59,100.0,31.67,41.82,100.0,1.67,9.13,70.0,15.24,35.72,73.33,22.73,42.89
llama3.1-sft-e1-_E1_D60006-t0.0--llama3.1-sft-e1-_E1_D60006-t0.0,26.66,82.5,32.32,97.5,93.15,9.82,40.0,14.3,15.98,100.0,36.67,48.32,100.0,38.61,43.56,90.0,1.85,6.81,83.33,20.0,40.82,66.67,21.67,40.86
llama3.1-sft-e1-_E1_D60007-t0.0--llama3.1-sft-e1-_E1_D60007-t0.0,30.14,87.19,34.57,100.0,92.1,11.0,82.0,23.17,30.26,95.0,39.18,48.96,100.0,40.56,45.24,96.67,0.69,3.71,66.67,22.5,41.28,70.0,23.81,43.64
