short_name,"-, clemscore","adventuregame, % Played","adventuregame, Quality Score","all, Average % Played","all, Average Quality Score","codenames, % Played","codenames, Quality Score","guesswhat, % Played","guesswhat, Quality Score","imagegame, % Played","imagegame, Quality Score","matchit_ascii, % Played","matchit_ascii, Quality Score","privateshared, % Played","privateshared, Quality Score","referencegame, % Played","referencegame, Quality Score","taboo, % Played","taboo, Quality Score","textmapworld, % Played","textmapworld, Quality Score","textmapworld_graphreasoning, % Played","textmapworld_graphreasoning, Quality Score","textmapworld_specificroom, % Played","textmapworld_specificroom, Quality Score","wordle, % Played","wordle, Quality Score","wordle_withclue, % Played","wordle_withclue, Quality Score","wordle_withcritic, % Played","wordle_withcritic, Quality Score"
Meta-Llama-3.1-70B-Instruct-t0.0--Meta-Llama-3.1-70B-Instruct-t0.0,48.2,94.53,62.76,78.73,61.22,90.0,41.03,85.0,25.49,93.33,87.66,95.0,60.53,100.0,83.88,100.0,75.56,91.67,65.45,96.0,69.81,50.0,53.02,93.33,100.0,90.0,1.85,6.67,50.0,16.67,80.0
Meta-Llama-3.1-8B-Instruct-t0.0--Meta-Llama-3.1-8B-Instruct-t0.0,28.05,46.09,40.1,56.72,49.46,52.31,27.94,91.67,13.33,63.33,54.34,90.0,69.44,62.0,53.11,100.0,35.56,93.33,31.85,22.0,55.54,40.0,49.19,63.33,100.0,50.0,2.0,16.67,60.0,3.33,100.0
Unsloth-meta-llama-3.1-4bit-plain-t0.0--Unsloth-meta-llama-3.1-4bit-plain-t0.0,26.26,30.47,29.95,58.31,45.04,45.38,27.12,90.0,12.35,67.8,54.62,100.0,70.0,100.0,23.48,100.0,38.89,100.0,33.33,36.0,53.83,30.0,48.6,50.0,93.33,60.0,0.0,0.0,,6.67,100.0
Unsloth-meta-llama-3.1-70B-bnb-4bit-t0.0--Unsloth-meta-llama-3.1-70B-bnb-4bit-t0.0,43.65,88.28,55.99,72.51,60.2,84.62,34.55,91.67,28.48,79.66,86.49,97.5,61.54,100.0,83.6,100.0,66.67,90.0,59.88,100.0,67.84,16.67,52.75,90.0,100.0,66.67,1.5,10.0,83.33,0.0,
llama3.1-8B-sft-e1-DFINAL-t0.0--llama3.1-8B-sft-e1-DFINAL-t0.0,26.1,23.08,13.85,52.96,49.28,0.77,0.0,100.0,20.56,96.61,95.3,65.0,34.62,100.0,96.11,100.0,41.11,100.0,38.06,86.0,53.16,0.0,,70.0,100.0,0.0,,0.0,,0.0,
