short_name,mmlu,social_iqa,piqa,"-, clemscore","all, Average % Played","all, Average Quality Score","imagegame, % Played","imagegame, Quality Score","privateshared, % Played","privateshared, Quality Score","referencegame, % Played","referencegame, Quality Score","taboo, % Played","taboo, Quality Score","wordle, % Played","wordle, Quality Score","wordle_withclue, % Played","wordle_withclue, Quality Score","wordle_withcritic, % Played","wordle_withcritic, Quality Score"
D30001_REV,64.76,49.08,78.78,32.54,95.14,34.2,100.0,84.88,96.0,15.47,100.0,36.11,98.33,44.63,93.33,6.07,83.33,20.67,95.0,31.58
D30002_REV,64.54,49.33,79.05,29.83,92.95,32.09,100.0,83.25,94.0,12.3,100.0,38.89,100.0,50.28,93.33,1.07,83.33,18.33,80.0,20.49
D30003_REV,64.73,48.26,78.78,29.35,88.1,33.32,100.0,73.25,100.0,17.77,100.0,33.33,100.0,56.67,90.0,4.44,70.0,30.16,56.67,17.65
D30004_REV,65.08,48.82,78.78,31.07,95.91,32.39,100.0,81.42,98.0,27.36,100.0,38.89,100.0,43.06,96.67,0.0,90.0,19.88,86.67,16.15
