short_name,"-, clemscore","adventuregame, % Played","adventuregame, Quality Score","all, Average % Played","all, Average Quality Score","codenames, % Played","codenames, Quality Score","guesswhat, % Played","guesswhat, Quality Score","imagegame, % Played","imagegame, Quality Score","matchit_ascii, % Played","matchit_ascii, Quality Score","privateshared, % Played","privateshared, Quality Score","referencegame, % Played","referencegame, Quality Score","taboo, % Played","taboo, Quality Score","textmapworld, % Played","textmapworld, Quality Score","textmapworld_graphreasoning, % Played","textmapworld_graphreasoning, Quality Score","textmapworld_specificroom, % Played","textmapworld_specificroom, Quality Score","wordle, % Played","wordle, Quality Score","wordle_withclue, % Played","wordle_withclue, Quality Score","wordle_withcritic, % Played","wordle_withcritic, Quality Score"
Unsloth-meta-llama-3.1-4bit-plain-t0.0--Unsloth-meta-llama-3.1-4bit-plain-t0.0,22.36,35.94,33.85,56.51,39.57,43.08,16.07,90.0,11.73,67.8,54.62,100.0,60.0,100.0,23.48,100.0,38.89,98.33,31.92,36.0,55.46,20.0,44.33,56.67,94.12,36.67,0.0,0.0,,6.67,50.0
Unsloth-meta-llama-3.1-70B-bnb-4bit-t0.0--Unsloth-meta-llama-3.1-70B-bnb-4bit-t0.0,42.52,88.28,56.77,73.58,57.79,84.62,36.36,91.67,30.3,79.66,85.57,97.5,61.54,100.0,83.67,100.0,68.89,91.67,59.39,100.0,67.19,23.33,50.25,90.0,100.0,76.67,1.3,6.67,50.0,0.0,
llama3.1-70B-sft-e1-DFINAL_1.7K-steps-t0.0--llama3.1-70B-sft-e1-DFINAL_1.7K-steps-t0.0,45.69,71.09,56.77,72.17,63.31,54.62,32.39,90.0,44.44,100.0,98.92,100.0,75.0,22.0,97.19,100.0,74.44,100.0,60.83,96.0,70.64,46.67,55.24,93.33,100.0,83.33,13.2,26.67,32.29,26.67,75.0
llama3.1-8B-sft-e1-DFINAL-t0.0--llama3.1-8B-sft-e1-DFINAL-t0.0,25.9,15.62,11.46,57.49,45.05,0.77,0.0,96.67,18.39,94.92,95.36,77.5,25.81,100.0,96.27,100.0,40.0,100.0,39.17,86.0,55.4,0.0,,70.0,100.0,63.33,13.68,0.0,,0.0,
llama3.1-8B-sft-e1-DFINAL_1.1K-steps-t0.0--llama3.1-8B-sft-e1-DFINAL_1.1K-steps-t0.0,28.25,10.94,17.19,63.75,44.31,9.23,16.67,98.33,12.43,100.0,94.41,100.0,42.5,100.0,96.32,100.0,40.0,100.0,45.0,84.0,54.75,26.67,34.6,63.33,94.74,63.33,7.89,16.67,25.0,20.0,38.89
llama3.1-8B-sft-e1-DFINAL_1.7K-steps-t0.0--llama3.1-8B-sft-e1-DFINAL_1.7K-steps-t0.0,28.86,7.03,14.84,58.72,49.14,5.38,14.29,85.0,30.07,100.0,94.46,100.0,65.0,100.0,97.35,100.0,33.33,100.0,38.06,88.0,49.96,0.0,,50.0,100.0,70.0,1.43,6.67,25.0,10.0,75.0
llama3.1-sft-e1-_E1_D40005-t0.0--llama3.1-sft-e1-_E1_D40005-t0.0,26.6,21.26,14.96,54.6,48.72,9.23,41.67,73.33,36.36,98.31,87.43,85.0,41.18,100.0,94.37,100.0,33.33,100.0,27.78,64.0,56.72,0.0,,66.67,95.0,46.67,7.14,0.0,,0.0,
