model,clemscore,all Average % Played,all Average Quality Score,adventuregame % Played,adventuregame Quality Score,codenames % Played,codenames Quality Score,guesswhat % Played,guesswhat Quality Score,imagegame % Played,imagegame Quality Score,matchit_ascii % Played,matchit_ascii Quality Score,privateshared % Played,privateshared Quality Score,referencegame % Played,referencegame Quality Score,taboo % Played,taboo Quality Score,textmapworld % Played,textmapworld Quality Score,textmapworld_graphreasoning % Played,textmapworld_graphreasoning Quality Score,textmapworld_specificroom % Played,textmapworld_specificroom Quality Score,wordle % Played,wordle Quality Score,wordle_withclue % Played,wordle_withclue Quality Score,wordle_withcritic % Played,wordle_withcritic Quality Score
Mistral-small-2501-rehearsal,41.8,68.66,60.88,44.53,20.31,58.46,25.0,80.0,52.08,98.31,96.88,100.0,77.5,100.0,99.37,100.0,55.56,100.0,53.33,90.0,63.77,0.0,,76.67,100.0,66.67,0.0,23.33,57.14,23.33,90.48
Mistral-small-2501-warmup-0.1K-steps,35.8,61.32,58.39,37.5,17.97,70.0,35.16,1.67,100.0,100.0,99.53,100.0,62.5,100.0,98.96,100.0,54.44,100.0,47.78,46.0,65.5,0.0,,66.67,100.0,63.33,0.0,36.67,50.76,36.67,26.51
